Company,Brand,Product,Actual,Budgeted,Dummy,Month,Year, Price (US/ TT) , A&P 
Bryden Stokes ,Spotless,475ML,0,100,0,May ,2019, $8.97 ,
Bryden Stokes ,Spotless,950ML,0,450,0,May ,2019, $6.71 ,
Bryden Stokes ,Spotless,1.89L,250,200,1,June,2019, $6.52 ,
Bryden Stokes ,Spotless,3.78L,785,500,1,June,2019, $6.05 ,
Bryden Stokes ,Spotless,475ML,190,200,0,June,2019, $8.97 ,
Bryden Stokes ,Spotless,950ML,350,750,0,June,2019, $6.71 ,
Bryden Stokes ,Spotless,1.89L,0,0,1,July,2019, $6.52 ,
Bryden Stokes ,Spotless,3.78L,0,0,1,July,2019, $6.05 ,
Bryden Stokes ,Spotless,475ML,0,0,1,July,2019, $8.97 ,
Bryden Stokes ,Spotless,950ML,0,0,1,July,2019, $6.71 ,
Bryden Stokes ,Spotless,1.89L,250,0,1,August,2019, $6.52 ,
Bryden Stokes ,Spotless,3.78L,714,1360,0,August,2019, $6.05 ,
Bryden Stokes ,Spotless,475ML,180,0,1,August,2019, $8.97 ,
Bryden Stokes ,Spotless,950ML,460,0,1,August,2019, $6.71 ,
Bryden Stokes ,Spotless,1.89L,230,200,1,September,2019, $6.52 ,
Bryden Stokes ,Spotless,3.78L,770,500,1,September,2019, $6.05 ,
Bryden Stokes ,Spotless,475ML,180,200,0,September,2019, $8.97 ,
Bryden Stokes ,Spotless,950ML,400,750,0,September,2019, $6.71 ,
Bryden Stokes ,Spotless,1.89L,250,0,1,October,2019, $6.52 ,
Bryden Stokes ,Spotless,3.78L,760,0,1,October,2019, $6.05 ,
Bryden Stokes ,Spotless,475ML,150,0,1,October,2019, $8.97 ,
Bryden Stokes ,Spotless,950ML,425,0,1,October,2019, $6.71 ,
Bryden Stokes ,Spotless,1.89L,295,200,1,November,2019, $6.52 ,
Bryden Stokes ,Spotless,3.78L,805,500,1,November,2019, $6.05 ,
Bryden Stokes ,Spotless,475ML,360,200,1,November,2019, $8.97 ,
Bryden Stokes ,Spotless,950ML,110,750,0,November,2019, $6.71 ,
Bryden Stokes ,Spotless,1.89L,0,0,1,December,2019, $6.52 ,
Bryden Stokes ,Spotless,3.78L,0,0,1,December,2019, $6.05 ,
Bryden Stokes ,Spotless,475ML,0,0,1,December,2019, $8.97 ,
Bryden Stokes ,Spotless,950ML,0,0,1,December,2019, $6.71 ,
Bryden Stokes ,Clean & White,1.89L,1660,100,1,January,2019, $6.52 ,
Bryden Stokes ,Clean & White,2X3.78L,2730,0,1,January,2019, $2.87 ,
Bryden Stokes ,Clean & White,3.78L,1750,750,1,January,2019, $6.05 ,
Bryden Stokes ,Clean & White,475ML,770,200,1,January,2019, $8.97 ,
Bryden Stokes ,Clean & White,950ML,2590,500,1,January,2019, $6.71 ,
Bryden Stokes ,Clean & White,1.89L,0,650,0,February,2019, $6.52 ,
Bryden Stokes ,Clean & White,2X3.78L,2730,5460,0,February,2019, $2.87 ,
Bryden Stokes ,Clean & White,3.78L,1385,950,1,February,2019, $6.05 ,
Bryden Stokes ,Clean & White,475ML,0,450,0,February,2019, $8.97 ,
Bryden Stokes ,Clean & White,950ML,0,200,0,February,2019, $6.71 ,
Bryden Stokes ,Clean & White,1.89L,200,650,0,March,2019, $6.52 ,
Bryden Stokes ,Clean & White,2X3.78L,2730,5460,0,March,2019, $2.87 ,
Bryden Stokes ,Clean & White,3.78L,930,950,0,March,2019, $6.05 ,
Bryden Stokes ,Clean & White,475ML,50,450,0,March,2019, $8.97 ,
Bryden Stokes ,Clean & White,950ML,350,200,1,March,2019, $6.71 ,
Bryden Stokes ,Clean & White,1.89L,420,300,1,April,2019, $6.52 ,
Bryden Stokes ,Clean & White,2X3.78L,2730,5460,0,April,2019, $2.87 ,
